path,file,funcName,startLine,endLine
D:\0x00\sard_crawler\dataset\svf-related\cwe\CWE416\source-code\416-cpp\testcases\000\002\151\useafterfree_20.cc,useafterfree_20.cc,main,31,35,

D:\0x00\sard_crawler\dataset\svf-related\cwe\CWE416\source-code\416-cpp\testcases\000\102\337\CWE416_Use_After_Free__new_delete_array_char_01.cpp,CWE416_Use_After_Free__new_delete_array_char_01.cpp,bad,27,40,

D:\0x00\sard_crawler\dataset\svf-related\cwe\CWE416\source-code\416-cpp\testcases\000\102\337\CWE416_Use_After_Free__new_delete_array_char_01.cpp,CWE416_Use_After_Free__new_delete_array_char_01.cpp,goodG2B,47,59,

D:\0x00\sard_crawler\dataset\svf-related\cwe\CWE416\source-code\416-cpp\testcases\000\102\337\CWE416_Use_After_Free__new_delete_array_char_01.cpp,CWE416_Use_After_Free__new_delete_array_char_01.cpp,goodB2G,62,76,

D:\0x00\sard_crawler\dataset\svf-related\cwe\CWE416\source-code\416-cpp\testcases\000\102\337\CWE416_Use_After_Free__new_delete_array_char_01.cpp,CWE416_Use_After_Free__new_delete_array_char_01.cpp,good,78,82,

D:\0x00\sard_crawler\dataset\svf-related\cwe\CWE416\source-code\416-cpp\testcases\000\102\337\CWE416_Use_After_Free__new_delete_array_char_01.cpp,CWE416_Use_After_Free__new_delete_array_char_01.cpp,main,97,112,

D:\0x00\sard_crawler\dataset\svf-related\cwe\CWE416\source-code\416-cpp\testcases\000\102\338\CWE416_Use_After_Free__new_delete_array_char_02.cpp,CWE416_Use_After_Free__new_delete_array_char_02.cpp,bad,27,46,

D:\0x00\sard_crawler\dataset\svf-related\cwe\CWE416\source-code\416-cpp\testcases\000\102\338\CWE416_Use_After_Free__new_delete_array_char_02.cpp,CWE416_Use_After_Free__new_delete_array_char_02.cpp,goodB2G1,53,78,

D:\0x00\sard_crawler\dataset\svf-related\cwe\CWE416\source-code\416-cpp\testcases\000\102\338\CWE416_Use_After_Free__new_delete_array_char_02.cpp,CWE416_Use_After_Free__new_delete_array_char_02.cpp,goodB2G2,81,101,

