path,file,funcName,startLine,endLine
D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\002\028\OSCommandInjection_bad.cpp,OSCommandInjection_bad.cpp,main,20,29,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\002\029\OSCommandInjection_good.cpp,OSCommandInjection_good.cpp,main,20,29,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\002\030\OSCommandInjection_Scope_bad.cpp,OSCommandInjection_Scope_bad.cpp,retStr,19,21,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\002\030\OSCommandInjection_Scope_bad.cpp,OSCommandInjection_Scope_bad.cpp,main,23,32,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\002\032\OSCommandInjection_ControlFlow_bad.cpp,OSCommandInjection_ControlFlow_bad.cpp,main,19,37,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\002\033\OSCommandInjection_ControlFlow_good.cpp,OSCommandInjection_ControlFlow_good.cpp,main,20,38,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\002\034\OSCommandInjection_LoopStructure_bad.cpp,OSCommandInjection_LoopStructure_bad.cpp,main,19,27,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\002\035\OSCommandInjection_LoopStructure_good.cpp,OSCommandInjection_LoopStructure_good.cpp,main,20,30,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\002\036\OSCommandInjection_Scope_good.cpp,OSCommandInjection_Scope_good.cpp,retStr,20,22,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\002\036\OSCommandInjection_Scope_good.cpp,OSCommandInjection_Scope_good.cpp,main,24,33,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\025\CWE78_OS_Command_Injection__char_connect_socket_execl_33.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_33.cpp,bad,68,147,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\025\CWE78_OS_Command_Injection__char_connect_socket_execl_33.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_33.cpp,goodG2B,154,168,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\025\CWE78_OS_Command_Injection__char_connect_socket_execl_33.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_33.cpp,good,170,173,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\025\CWE78_OS_Command_Injection__char_connect_socket_execl_33.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_33.cpp,main,188,203,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\029\CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,badSource,68,137,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\029\CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,bad,139,148,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\029\CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,goodG2BSource,155,159,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\029\CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,goodG2B,161,170,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\029\CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,good,172,175,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\029\CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_43.cpp,main,191,206,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\037\CWE78_OS_Command_Injection__char_connect_socket_execl_62a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_62a.cpp,bad,51,60,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\037\CWE78_OS_Command_Injection__char_connect_socket_execl_62a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_62a.cpp,goodG2B,69,78,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\037\CWE78_OS_Command_Injection__char_connect_socket_execl_62a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_62a.cpp,good,80,83,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\037\CWE78_OS_Command_Injection__char_connect_socket_execl_62a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_62a.cpp,main,99,114,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\037\CWE78_OS_Command_Injection__char_connect_socket_execl_62b.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_62b.cpp,badSource,61,130,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\037\CWE78_OS_Command_Injection__char_connect_socket_execl_62b.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_62b.cpp,goodG2BSource,137,141,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\044\CWE78_OS_Command_Injection__char_connect_socket_execl_72a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_72a.cpp,bad,67,145,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\044\CWE78_OS_Command_Injection__char_connect_socket_execl_72a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_72a.cpp,goodG2B,156,169,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\044\CWE78_OS_Command_Injection__char_connect_socket_execl_72a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_72a.cpp,good,171,174,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\044\CWE78_OS_Command_Injection__char_connect_socket_execl_72a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_72a.cpp,main,190,205,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\044\CWE78_OS_Command_Injection__char_connect_socket_execl_72b.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_72b.cpp,badSink,51,58,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\044\CWE78_OS_Command_Injection__char_connect_socket_execl_72b.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_72b.cpp,goodG2BSink,65,71,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\045\CWE78_OS_Command_Injection__char_connect_socket_execl_73a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_73a.cpp,bad,67,145,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\045\CWE78_OS_Command_Injection__char_connect_socket_execl_73a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_73a.cpp,goodG2B,156,169,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\045\CWE78_OS_Command_Injection__char_connect_socket_execl_73a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_73a.cpp,good,171,174,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\045\CWE78_OS_Command_Injection__char_connect_socket_execl_73a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_73a.cpp,main,190,205,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\045\CWE78_OS_Command_Injection__char_connect_socket_execl_73b.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_73b.cpp,badSink,51,58,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\045\CWE78_OS_Command_Injection__char_connect_socket_execl_73b.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_73b.cpp,goodG2BSink,65,71,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\046\CWE78_OS_Command_Injection__char_connect_socket_execl_74a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_74a.cpp,bad,67,145,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\046\CWE78_OS_Command_Injection__char_connect_socket_execl_74a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_74a.cpp,goodG2B,156,169,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\046\CWE78_OS_Command_Injection__char_connect_socket_execl_74a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_74a.cpp,good,171,174,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\046\CWE78_OS_Command_Injection__char_connect_socket_execl_74a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_74a.cpp,main,190,205,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\046\CWE78_OS_Command_Injection__char_connect_socket_execl_74b.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_74b.cpp,badSink,51,58,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\046\CWE78_OS_Command_Injection__char_connect_socket_execl_74b.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_74b.cpp,goodG2BSink,65,71,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\047\CWE78_OS_Command_Injection__char_connect_socket_execl_81a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_81a.cpp,bad,46,120,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\047\CWE78_OS_Command_Injection__char_connect_socket_execl_81a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_81a.cpp,goodG2B,127,136,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\047\CWE78_OS_Command_Injection__char_connect_socket_execl_81a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_81a.cpp,good,138,141,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\047\CWE78_OS_Command_Injection__char_connect_socket_execl_81a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_81a.cpp,main,157,172,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\047\CWE78_OS_Command_Injection__char_connect_socket_execl_81_bad.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_81_bad.cpp,action,31,36,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\047\CWE78_OS_Command_Injection__char_connect_socket_execl_81_goodG2B.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_81_goodG2B.cpp,action,31,36,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\048\CWE78_OS_Command_Injection__char_connect_socket_execl_82a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_82a.cpp,bad,46,121,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\048\CWE78_OS_Command_Injection__char_connect_socket_execl_82a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_82a.cpp,goodG2B,128,138,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\048\CWE78_OS_Command_Injection__char_connect_socket_execl_82a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_82a.cpp,good,140,143,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\048\CWE78_OS_Command_Injection__char_connect_socket_execl_82a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_82a.cpp,main,159,174,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\048\CWE78_OS_Command_Injection__char_connect_socket_execl_82_bad.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_82_bad.cpp,action,31,36,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\048\CWE78_OS_Command_Injection__char_connect_socket_execl_82_goodG2B.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_82_goodG2B.cpp,action,31,36,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\049\CWE78_OS_Command_Injection__char_connect_socket_execl_83a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_83a.cpp,bad,25,31,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\049\CWE78_OS_Command_Injection__char_connect_socket_execl_83a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_83a.cpp,goodG2B,38,44,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\049\CWE78_OS_Command_Injection__char_connect_socket_execl_83a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_83a.cpp,good,46,49,

D:\IdeaProjects\cpptest\src\main\resources\testCode\78-cpp\testcases\000\244\049\CWE78_OS_Command_Injection__char_connect_socket_execl_83a.cpp,CWE78_OS_Command_Injection__char_connect_socket_execl_83a.cpp,main,64,79,

