path,file,funcName,startLine,endLine
D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\095\sql_select-bad.c,sql_select-bad.c,my_memset_s,22,31,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\095\sql_select-bad.c,sql_select-bad.c,getpass_r,34,70,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\095\sql_select-bad.c,sql_select-bad.c,main,73,154,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\096\sql_select-good.c,sql_select-good.c,my_memset_s,22,31,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\096\sql_select-good.c,sql_select-good.c,getpass_r,34,70,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\096\sql_select-good.c,sql_select-good.c,main,73,176,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\097\sql_array-bad.c,sql_array-bad.c,my_memset_s,22,31,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\097\sql_array-bad.c,sql_array-bad.c,getpass_r,34,70,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\097\sql_array-bad.c,sql_array-bad.c,main,73,159,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\098\sql_array-good.c,sql_array-good.c,my_memset_s,22,31,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\098\sql_array-good.c,sql_array-good.c,getpass_r,34,70,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\098\sql_array-good.c,sql_array-good.c,main,73,181,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\099\sql_scope-bad.c,sql_scope-bad.c,my_memset_s,22,31,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\099\sql_scope-bad.c,sql_scope-bad.c,getpass_r,34,70,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\099\sql_scope-bad.c,sql_scope-bad.c,runSQLCommand,73,78,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\099\sql_scope-bad.c,sql_scope-bad.c,main,81,163,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\100\sql_scope-good.c,sql_scope-good.c,my_memset_s,22,31,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\100\sql_scope-good.c,sql_scope-good.c,getpass_r,34,70,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\100\sql_scope-good.c,sql_scope-good.c,runSQLCommand,73,78,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\100\sql_scope-good.c,sql_scope-good.c,main,81,185,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\187\sql_injection_loop-bad.c,sql_injection_loop-bad.c,my_memset_s,22,31,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\187\sql_injection_loop-bad.c,sql_injection_loop-bad.c,getpass_r,34,70,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\187\sql_injection_loop-bad.c,sql_injection_loop-bad.c,main,73,158,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\188\sql_injection_loop-good.c,sql_injection_loop-good.c,my_memset_s,22,31,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\188\sql_injection_loop-good.c,sql_injection_loop-good.c,getpass_r,34,70,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\188\sql_injection_loop-good.c,sql_injection_loop-good.c,main,73,181,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\149\250\scripts\shm_setup.c,shm_setup.c,main,11,110,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\166\src\cmdutils.c,cmdutils.c,stonesoup_setup_printf_context,85,118,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\166\src\cmdutils.c,cmdutils.c,stonesoup_printf,119,125,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\166\src\cmdutils.c,cmdutils.c,stonesoup_close_printf_context,126,131,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\166\src\cmdutils.c,cmdutils.c,init_opts,134,139,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\166\src\cmdutils.c,cmdutils.c,uninit_opts,141,151,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\166\src\cmdutils.c,cmdutils.c,log_callback_help,153,156,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\166\src\cmdutils.c,cmdutils.c,log_callback_report,158,169,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\166\src\cmdutils.c,cmdutils.c,parse_number_or_die,171,200,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\166\src\cmdutils.c,cmdutils.c,parse_time_or_die,202,210,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\166\src\cmdutils.c,cmdutils.c,show_help_options,212,234,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,stonesoup_setup_printf_context,51,84,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,stonesoup_printf,85,91,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,stonesoup_close_printf_context,92,97,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,stonesoup_read_taint,98,122,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,col_format_to_string,126,195,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,col_format_desc,262,273,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_column_format_matches,277,464,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_timestamp_column_longest_string,468,729,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_column_width_string,733,741,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_column_longest_string,754,1019,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_column_char_width,1023,1026,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_column_format,1028,1038,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,set_column_format,1040,1050,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_column_format_from_str,1052,1062,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_column_title,1064,1074,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,set_column_title,1076,1087,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_column_visible,1089,1113,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,set_column_visible,1115,1125,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_column_resolved,1127,1137,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,set_column_resolved,1139,1149,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_column_custom_field,1151,1161,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,set_column_custom_field,1163,1174,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,get_column_custom_occurrence,1176,1186,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,set_column_custom_occurrence,1188,1198,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,build_column_format_array,1200,1253,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,gns_overpark,1255,1259,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\174\src\epan\column.c,column.c,rambunctious_orective,1261,1335,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\178\src\libavdevice\avdevice.c,avdevice.c,stonesoup_setup_printf_context,39,40,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\178\src\libavdevice\avdevice.c,avdevice.c,stonesoup_printf,41,47,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\178\src\libavdevice\avdevice.c,avdevice.c,stonesoup_close_printf_context,48,49,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\178\src\libavdevice\avdevice.c,avdevice.c,stonesoup_ev_handler,51,80,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\178\src\libavdevice\avdevice.c,avdevice.c,stonesoup_read_taint,81,93,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\178\src\libavdevice\avdevice.c,avdevice.c,avdevice_version,95,111,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\178\src\libavdevice\avdevice.c,avdevice.c,avdevice_configuration,113,116,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\178\src\libavdevice\avdevice.c,avdevice.c,avdevice_license,118,122,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\178\src\libavdevice\avdevice.c,avdevice.c,stonesoup_handle_taint,124,233,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,stonesoup_setup_printf_context,48,81,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,stonesoup_printf,82,88,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,stonesoup_close_printf_context,89,94,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,membuf_create,106,115,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,membuf_ensure,127,151,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_membuf__create,153,157,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_membuf__ensure,159,162,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_membuf__resize,164,172,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_membuf__zero,176,182,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_membuf__nzero,186,198,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,string_compare,200,213,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,string_first_non_whitespace,215,225,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,find_char_backward,227,237,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,create_string,244,251,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_string_create_empty,256,262,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_string_ncreate,264,281,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_string_create,283,286,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_string_create_from_buf,288,291,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_string_createv,293,298,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_string_createf,300,308,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_string_isempty,310,313,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_string_dup,315,318,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_string_compare,320,323,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_string_first_non_whitespace,325,328,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_string_find_char_backward,330,333,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_stringbuf__morph_into_string,335,358,

D:\IdeaProjects\cpptest\src\main\resources\testCode\89-c\testcases\000\152\179\src\subversion\libsvn_subr\string.c,string.c,svn_stringbuf_create_empty,361,364,

