path,file,funcName,startLine,endLine
D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\594\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_01.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_01.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_01_bad,23,61,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\594\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_01.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_01.c,good1,67,103,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\594\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_01.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_01.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_01_good,105,108,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\594\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_01.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_01.c,main,119,134,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\595\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02_bad,23,64,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\595\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02.c,good1,71,115,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\595\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02.c,good2,118,157,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\595\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02_good,159,163,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\595\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_02.c,main,174,189,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\596\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03_bad,23,64,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\596\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03.c,good1,71,115,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\596\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03.c,good2,118,157,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\596\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03_good,159,163,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\596\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_03.c,main,174,189,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\597\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04_bad,29,70,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\597\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04.c,good1,77,121,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\597\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04.c,good2,124,163,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\597\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04_good,165,169,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\597\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_04.c,main,180,195,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\598\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_05.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_05.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_05_bad,29,70,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\598\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_05.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_05.c,good1,77,121,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\598\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_05.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_05.c,good2,124,163,

D:\0x00\sard_crawler\dataset\svf-related\CWE269\source-code\269-c\testcases\000\093\598\CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_05.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_05.c,CWE272_Least_Privilege_Violation__w32_char_CreateProcessAsUser_05_good,165,169,

