path,file,funcName,startLine,endLine
D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,imap_partial_range_parse,18,39,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,search_parse_return_options,41,110,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,imap_search_args_check,112,131,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,imap_search_result_save,133,160,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,imap_search_send_result_standard,162,189,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,imap_search_send_partial,191,233,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,imap_search_send_result,235,285,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,search_update_mail,287,300,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,search_add_result_id,302,316,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,cmd_search_more,318,426,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,cmd_search_more_callback,428,447,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,cmd_search_parse_return_if_found,449,481,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,wanted_fields_get,483,523,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,imap_search_start,525,564,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\imap\imap-search.c,imap-search.c,imap_search_deinit,566,592,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\lib\mkdir-parents.c,mkdir-parents.c,mkdir_chown_full,13,66,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\lib\mkdir-parents.c,mkdir-parents.c,mkdir_chown,68,71,

D:\0x00\sard_crawler\dataset\svf-related\CWE732\source-code\732-c\testcases\SATE\dovecot-1.2.0\src\lib\mkdir-parents.c,mkdir-parents.c,mkdir_chgrp,73,77,

