path,file,funcName,startLine,endLine
D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\003\CWE78_OS_Command_Injection__char_connect_socket_execl_01.c,CWE78_OS_Command_Injection__char_connect_socket_execl_01.c,CWE78_OS_Command_Injection__char_connect_socket_execl_01_bad,65,140,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\003\CWE78_OS_Command_Injection__char_connect_socket_execl_01.c,CWE78_OS_Command_Injection__char_connect_socket_execl_01.c,goodG2B,147,157,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\003\CWE78_OS_Command_Injection__char_connect_socket_execl_01.c,CWE78_OS_Command_Injection__char_connect_socket_execl_01.c,CWE78_OS_Command_Injection__char_connect_socket_execl_01_good,159,162,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\003\CWE78_OS_Command_Injection__char_connect_socket_execl_01.c,CWE78_OS_Command_Injection__char_connect_socket_execl_01.c,main,174,189,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\004\CWE78_OS_Command_Injection__char_connect_socket_execl_02.c,CWE78_OS_Command_Injection__char_connect_socket_execl_02.c,CWE78_OS_Command_Injection__char_connect_socket_execl_02_bad,65,143,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\004\CWE78_OS_Command_Injection__char_connect_socket_execl_02.c,CWE78_OS_Command_Injection__char_connect_socket_execl_02.c,goodG2B1,150,168,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\004\CWE78_OS_Command_Injection__char_connect_socket_execl_02.c,CWE78_OS_Command_Injection__char_connect_socket_execl_02.c,goodG2B2,171,184,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\004\CWE78_OS_Command_Injection__char_connect_socket_execl_02.c,CWE78_OS_Command_Injection__char_connect_socket_execl_02.c,CWE78_OS_Command_Injection__char_connect_socket_execl_02_good,186,190,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\004\CWE78_OS_Command_Injection__char_connect_socket_execl_02.c,CWE78_OS_Command_Injection__char_connect_socket_execl_02.c,main,202,217,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\005\CWE78_OS_Command_Injection__char_connect_socket_execl_03.c,CWE78_OS_Command_Injection__char_connect_socket_execl_03.c,CWE78_OS_Command_Injection__char_connect_socket_execl_03_bad,65,143,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\005\CWE78_OS_Command_Injection__char_connect_socket_execl_03.c,CWE78_OS_Command_Injection__char_connect_socket_execl_03.c,goodG2B1,150,168,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\005\CWE78_OS_Command_Injection__char_connect_socket_execl_03.c,CWE78_OS_Command_Injection__char_connect_socket_execl_03.c,goodG2B2,171,184,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\005\CWE78_OS_Command_Injection__char_connect_socket_execl_03.c,CWE78_OS_Command_Injection__char_connect_socket_execl_03.c,CWE78_OS_Command_Injection__char_connect_socket_execl_03_good,186,190,

D:\IdeaProjects\cpptest\src\main\resources\testCode\000\244\005\CWE78_OS_Command_Injection__char_connect_socket_execl_03.c,CWE78_OS_Command_Injection__char_connect_socket_execl_03.c,main,202,217,

